[2023-05-22 10:21:42,705987] admin.INFO  [NULL] [f9b320c7] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /bkadmin/, 45.126.3.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 10:26:24,822330] admin.INFO  [NULL] [58feea25] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /bkadmin/setting/system/member, 52.198.59.58, NULL, Chatwork LinkPreview v1]
[2023-05-22 10:26:24,834902] admin.INFO  [a93024d2] [58feea25] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["admin_setting_system_member"]  [GET, /bkadmin/setting/system/member, 52.198.59.58, NULL, Chatwork LinkPreview v1]
[2023-05-22 10:26:24,835167] admin.INFO  [a93024d2] [58feea25] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_setting_system_member"]  [GET, /bkadmin/setting/system/member, 52.198.59.58, NULL, Chatwork LinkPreview v1]
[2023-05-22 10:26:30,500302] admin.INFO  [NULL] [fc840392] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /bkadmin/, 3.115.117.153, NULL, Chatwork LinkPreview v1]
[2023-05-22 10:26:30,513017] admin.INFO  [de854932] [fc840392] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["admin_homepage"]  [GET, /bkadmin/, 3.115.117.153, NULL, Chatwork LinkPreview v1]
[2023-05-22 10:26:30,513320] admin.INFO  [de854932] [fc840392] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_homepage"]  [GET, /bkadmin/, 3.115.117.153, NULL, Chatwork LinkPreview v1]
[2023-05-22 15:55:50,780506] admin.INFO  [NULL] [d4542786] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:50,792247] admin.INFO  [8981d031] [d4542786] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["admin_homepage"]  [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:50,792518] admin.INFO  [8981d031] [d4542786] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_homepage"]  [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:53,387923] admin.INFO  [NULL] [5d004ad8] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /bkadmin/login_check, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:53,394677] admin.INFO  [3526e9d4] [5d004ad8] [3] [LogListener:onKernelResponse:86] - LOGIC END ["bkadmin_login_check"]  [POST, /bkadmin/login_check, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:53,395049] admin.INFO  [3526e9d4] [5d004ad8] [3] [LogListener:onKernelTerminate:95] - PROCESS END ["bkadmin_login_check"]  [POST, /bkadmin/login_check, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:53,433157] admin.INFO  [NULL] [52761bf6] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:53,437524] admin.INFO  [3526e9d4] [52761bf6] [3] [LogListener:onKernelRequest:60] - PROCESS START ["admin_homepage"]  [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:53,441718] admin.INFO  [3526e9d4] [52761bf6] [3] [LogListener:onKernelController:73] - LOGIC START ["admin_homepage"]  [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:53,477572] admin.INFO  [3526e9d4] [52761bf6] [3] [LogListener:onKernelResponse:86] - LOGIC END ["admin_homepage"]  [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:53,478443] admin.INFO  [3526e9d4] [52761bf6] [3] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_homepage"]  [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:57,365255] admin.INFO  [NULL] [d444695f] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:57,369137] admin.INFO  [3526e9d4] [d444695f] [3] [LogListener:onKernelRequest:60] - PROCESS START ["admin_order"]  [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:57,375041] admin.INFO  [3526e9d4] [d444695f] [3] [LogListener:onKernelController:73] - LOGIC START ["admin_order"]  [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:57,390006] admin.INFO  [3526e9d4] [d444695f] [3] [ReceiptPdf:onAdminReceiptIndexRender:29] - Event: Order pdf hook into the order search render start.   [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:57,390360] admin.INFO  [3526e9d4] [d444695f] [3] [ReceiptPdf:onAdminReceiptIndexRender:45] - Event: Order pdf hook into the order search render end.   [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:57,396481] admin.INFO  [3526e9d4] [d444695f] [3] [LogListener:onKernelResponse:86] - LOGIC END ["admin_order"]  [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:57,397335] admin.INFO  [3526e9d4] [d444695f] [3] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_order"]  [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:58,972807] admin.INFO  [NULL] [15a7d3f4] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:58,977550] admin.INFO  [3526e9d4] [15a7d3f4] [3] [LogListener:onKernelRequest:60] - PROCESS START ["admin_order"]  [POST, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:58,981446] admin.INFO  [3526e9d4] [15a7d3f4] [3] [LogListener:onKernelController:73] - LOGIC START ["admin_order"]  [POST, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:59,020853] admin.INFO  [3526e9d4] [15a7d3f4] [3] [ReceiptPdf:onAdminReceiptIndexRender:29] - Event: Order pdf hook into the order search render start.   [POST, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:59,021091] admin.INFO  [3526e9d4] [15a7d3f4] [3] [ReceiptPdf:onAdminReceiptIndexRender:45] - Event: Order pdf hook into the order search render end.   [POST, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:59,042888] admin.INFO  [3526e9d4] [15a7d3f4] [3] [LogListener:onKernelResponse:86] - LOGIC END ["admin_order"]  [POST, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 15:55:59,044284] admin.INFO  [3526e9d4] [15a7d3f4] [3] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_order"]  [POST, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:04,267738] admin.INFO  [NULL] [40c0c09f] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:04,282096] admin.INFO  [dee7cd15] [40c0c09f] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["admin_homepage"]  [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:04,282372] admin.INFO  [dee7cd15] [40c0c09f] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_homepage"]  [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:06,057724] admin.INFO  [NULL] [4ca2db03] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /bkadmin/login_check, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:06,064358] admin.INFO  [4bdcb8d6] [4ca2db03] [3] [LogListener:onKernelResponse:86] - LOGIC END ["bkadmin_login_check"]  [POST, /bkadmin/login_check, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:06,064745] admin.INFO  [4bdcb8d6] [4ca2db03] [3] [LogListener:onKernelTerminate:95] - PROCESS END ["bkadmin_login_check"]  [POST, /bkadmin/login_check, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:06,106407] admin.INFO  [NULL] [68222282] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:06,110519] admin.INFO  [4bdcb8d6] [68222282] [3] [LogListener:onKernelRequest:60] - PROCESS START ["admin_homepage"]  [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:06,114517] admin.INFO  [4bdcb8d6] [68222282] [3] [LogListener:onKernelController:73] - LOGIC START ["admin_homepage"]  [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:06,148728] admin.INFO  [4bdcb8d6] [68222282] [3] [LogListener:onKernelResponse:86] - LOGIC END ["admin_homepage"]  [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:06,149505] admin.INFO  [4bdcb8d6] [68222282] [3] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_homepage"]  [GET, /bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:11,288252] admin.INFO  [NULL] [9c7da342] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:11,292065] admin.INFO  [4bdcb8d6] [9c7da342] [3] [LogListener:onKernelRequest:60] - PROCESS START ["admin_order"]  [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:11,296084] admin.INFO  [4bdcb8d6] [9c7da342] [3] [LogListener:onKernelController:73] - LOGIC START ["admin_order"]  [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:11,308390] admin.INFO  [4bdcb8d6] [9c7da342] [3] [ReceiptPdf:onAdminReceiptIndexRender:29] - Event: Order pdf hook into the order search render start.   [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:11,308648] admin.INFO  [4bdcb8d6] [9c7da342] [3] [ReceiptPdf:onAdminReceiptIndexRender:45] - Event: Order pdf hook into the order search render end.   [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:11,312897] admin.INFO  [4bdcb8d6] [9c7da342] [3] [LogListener:onKernelResponse:86] - LOGIC END ["admin_order"]  [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 16:21:11,313581] admin.INFO  [4bdcb8d6] [9c7da342] [3] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_order"]  [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
