[2023-05-12 00:00:30,950751] front.INFO  [NULL] [2353405b] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /epsilon_pay_complete.php, 210.254.37.215, NULL, libwww-perl/6.38]
[2023-05-12 00:40:19,778992] front.INFO  [202a7279] [26940266] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [POST, /epsilon_pay_complete.php, 210.254.37.215, NULL, libwww-perl/6.38]
[2023-05-12 01:30:48,229253] front.INFO  [NULL] [cef5daec] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /forgot, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 01:30:48,229824] front.INFO  [NULL] [cef5daec] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["forgot"]  [GET, /forgot, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 01:30:48,239317] front.INFO  [80a81ad0] [cef5daec] [NULL] [LogListener:onKernelController:73] - LOGIC START ["forgot"]  [GET, /forgot, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 01:30:48,253172] front.INFO  [80a81ad0] [cef5daec] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["forgot"]  [GET, /forgot, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 01:30:48,253824] front.INFO  [80a81ad0] [cef5daec] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["forgot"]  [GET, /forgot, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 01:47:29,425414] front.INFO  [NULL] [c61f8f14] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/list?category_id=9, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 01:47:29,426101] front.INFO  [NULL] [c61f8f14] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_list"]  [GET, /products/list?category_id=9, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 01:47:29,434877] front.INFO  [9c69ef68] [c61f8f14] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_list"]  [GET, /products/list?category_id=9, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 01:47:29,466958] front.INFO  [9c69ef68] [c61f8f14] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_list"]  [GET, /products/list?category_id=9, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 01:47:29,468044] front.INFO  [9c69ef68] [c61f8f14] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_list"]  [GET, /products/list?category_id=9, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 01:59:00,423109] front.INFO  [NULL] [053d8ab8] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/20, 40.77.167.156, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 01:59:00,423853] front.INFO  [NULL] [053d8ab8] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/20, 40.77.167.156, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 01:59:00,432078] front.INFO  [12004b55] [053d8ab8] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/20, 40.77.167.156, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 01:59:00,462850] front.INFO  [12004b55] [053d8ab8] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/20, 40.77.167.156, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 01:59:00,463462] front.INFO  [12004b55] [053d8ab8] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/20, 40.77.167.156, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 02:29:13,902736] front.INFO  [NULL] [60d6431b] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 02:29:13,903267] front.INFO  [NULL] [60d6431b] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 02:29:13,911672] front.INFO  [7ddaa236] [60d6431b] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 02:29:13,933775] front.INFO  [7ddaa236] [60d6431b] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 02:29:13,934363] front.INFO  [7ddaa236] [60d6431b] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 02:43:44,369288] front.INFO  [NULL] [6ee1f9c5] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 40.77.167.205, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 02:43:44,369786] front.INFO  [NULL] [6ee1f9c5] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 40.77.167.205, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 02:43:44,378169] front.INFO  [2a1f92dc] [6ee1f9c5] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 40.77.167.205, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 02:43:44,398874] front.INFO  [2a1f92dc] [6ee1f9c5] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 40.77.167.205, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 02:43:44,399571] front.INFO  [2a1f92dc] [6ee1f9c5] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 40.77.167.205, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 02:52:44,611483] front.INFO  [NULL] [26015c60] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 84.17.43.166, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 02:52:44,612035] front.INFO  [NULL] [26015c60] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 84.17.43.166, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 02:52:44,620554] front.INFO  [40313f95] [26015c60] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 84.17.43.166, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 02:52:44,641597] front.INFO  [40313f95] [26015c60] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 84.17.43.166, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 02:52:44,642208] front.INFO  [40313f95] [26015c60] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 84.17.43.166, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 02:52:48,463944] front.INFO  [NULL] [d65e6224] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /contact, 84.17.43.166, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 02:52:48,464527] front.INFO  [40313f95] [d65e6224] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["contact"]  [GET, /contact, 84.17.43.166, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 02:52:48,473130] front.INFO  [40313f95] [d65e6224] [NULL] [LogListener:onKernelController:73] - LOGIC START ["contact"]  [GET, /contact, 84.17.43.166, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 02:52:48,488736] front.INFO  [40313f95] [d65e6224] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["contact"]  [GET, /contact, 84.17.43.166, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 02:52:48,489467] front.INFO  [40313f95] [d65e6224] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["contact"]  [GET, /contact, 84.17.43.166, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 02:52:49,576940] front.INFO  [NULL] [cf419b28] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /contact, 84.17.43.166, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 02:52:49,577326] front.INFO  [40313f95] [cf419b28] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["contact"]  [POST, /contact, 84.17.43.166, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 02:52:49,584798] front.INFO  [40313f95] [cf419b28] [NULL] [LogListener:onKernelController:73] - LOGIC START ["contact"]  [POST, /contact, 84.17.43.166, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 02:52:49,602207] front.INFO  [40313f95] [cf419b28] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["contact"]  [POST, /contact, 84.17.43.166, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 02:52:49,603052] front.INFO  [40313f95] [cf419b28] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["contact"]  [POST, /contact, 84.17.43.166, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64 (Edition Yx)]
[2023-05-12 03:14:35,928335] front.INFO  [NULL] [eb40ed9d] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/20?fbclid=IwAR323HYAmvutS0clFguPPenBhwz6KhGfoc4U2BfI-eEldTNGSFcx6qyVcfs, 150.100.16.70, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36]
[2023-05-12 03:14:35,929041] front.INFO  [NULL] [eb40ed9d] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/20?fbclid=IwAR323HYAmvutS0clFguPPenBhwz6KhGfoc4U2BfI-eEldTNGSFcx6qyVcfs, 150.100.16.70, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36]
[2023-05-12 03:14:35,937352] front.INFO  [5ecd6db1] [eb40ed9d] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/20?fbclid=IwAR323HYAmvutS0clFguPPenBhwz6KhGfoc4U2BfI-eEldTNGSFcx6qyVcfs, 150.100.16.70, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36]
[2023-05-12 03:14:35,967512] front.INFO  [5ecd6db1] [eb40ed9d] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/20?fbclid=IwAR323HYAmvutS0clFguPPenBhwz6KhGfoc4U2BfI-eEldTNGSFcx6qyVcfs, 150.100.16.70, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36]
[2023-05-12 03:14:35,968179] front.INFO  [5ecd6db1] [eb40ed9d] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/20?fbclid=IwAR323HYAmvutS0clFguPPenBhwz6KhGfoc4U2BfI-eEldTNGSFcx6qyVcfs, 150.100.16.70, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36]
[2023-05-12 03:37:19,654947] front.INFO  [NULL] [bfff0904] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 03:37:19,655618] front.INFO  [NULL] [bfff0904] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 03:37:19,664260] front.INFO  [4356af6a] [bfff0904] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 03:37:19,686777] front.INFO  [4356af6a] [bfff0904] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 03:37:19,687553] front.INFO  [4356af6a] [bfff0904] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-12 03:47:23,837484] front.INFO  [NULL] [6ec686de] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 107.21.86.199, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:47:23,841674] front.INFO  [NULL] [6ec686de] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 107.21.86.199, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:47:23,872675] front.INFO  [ccac2227] [6ec686de] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 107.21.86.199, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:47:23,999800] front.INFO  [ccac2227] [6ec686de] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 107.21.86.199, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:47:24,000631] front.INFO  [ccac2227] [6ec686de] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 107.21.86.199, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:47:25,016260] front.INFO  [NULL] [bdc35312] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 107.21.86.199, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:47:25,016559] front.INFO  [NULL] [bdc35312] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 107.21.86.199, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:47:25,024248] front.INFO  [8138fdf2] [bdc35312] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 107.21.86.199, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:47:25,042890] front.INFO  [8138fdf2] [bdc35312] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 107.21.86.199, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:47:25,043531] front.INFO  [8138fdf2] [bdc35312] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 107.21.86.199, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:54:00,574557] front.INFO  [NULL] [015baa73] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 3.80.53.235, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:54:00,575108] front.INFO  [NULL] [015baa73] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 3.80.53.235, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:54:00,583816] front.INFO  [753bd6c0] [015baa73] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 3.80.53.235, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:54:00,605207] front.INFO  [753bd6c0] [015baa73] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 3.80.53.235, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:54:00,605773] front.INFO  [753bd6c0] [015baa73] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 3.80.53.235, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:54:01,610618] front.INFO  [NULL] [f66b328f] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 3.80.53.235, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
[2023-05-12 03:54:01,611042] front.INFO  [NULL] [f66b328f] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 3.80.53.235, NULL, Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/534.1]
