[2023-05-01 00:34:40,399246] front.INFO  [NULL] [3b670b03] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /mypage/login, 147.92.153.2, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 01:14:28,517574] front.INFO  [NULL] [36c6c688] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 52.167.144.45, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-01 01:14:28,526352] front.INFO  [df81c577] [36c6c688] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 52.167.144.45, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-01 01:14:28,549034] front.INFO  [df81c577] [36c6c688] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 52.167.144.45, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-01 01:14:28,549629] front.INFO  [df81c577] [36c6c688] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 52.167.144.45, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-01 01:14:40,357505] front.INFO  [NULL] [db7ed11a] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /help/about, 147.92.153.9, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 01:14:40,358221] front.INFO  [NULL] [db7ed11a] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["help_about"]  [GET, /help/about, 147.92.153.9, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 01:14:40,366599] front.INFO  [64df170b] [db7ed11a] [NULL] [LogListener:onKernelController:73] - LOGIC START ["help_about"]  [GET, /help/about, 147.92.153.9, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 01:14:40,379435] front.INFO  [64df170b] [db7ed11a] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["help_about"]  [GET, /help/about, 147.92.153.9, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 01:14:40,380085] front.INFO  [64df170b] [db7ed11a] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["help_about"]  [GET, /help/about, 147.92.153.9, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 01:27:38,480322] front.INFO  [NULL] [5185fcd8] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:38,480835] front.INFO  [NULL] [5185fcd8] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:38,489268] front.INFO  [7559e742] [5185fcd8] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:38,510392] front.INFO  [7559e742] [5185fcd8] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:38,511063] front.INFO  [7559e742] [5185fcd8] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:38,868374] front.INFO  [NULL] [069c52be] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /contact, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:38,868876] front.INFO  [NULL] [069c52be] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["contact"]  [GET, /contact, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:38,876888] front.INFO  [dc2f15f5] [069c52be] [NULL] [LogListener:onKernelController:73] - LOGIC START ["contact"]  [GET, /contact, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:38,891547] front.INFO  [dc2f15f5] [069c52be] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["contact"]  [GET, /contact, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:38,892233] front.INFO  [dc2f15f5] [069c52be] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["contact"]  [GET, /contact, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:47,729276] front.INFO  [NULL] [3131b781] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /help/about, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:47,729863] front.INFO  [NULL] [3131b781] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["help_about"]  [GET, /help/about, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:47,737887] front.INFO  [3779a781] [3131b781] [NULL] [LogListener:onKernelController:73] - LOGIC START ["help_about"]  [GET, /help/about, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:47,750174] front.INFO  [3779a781] [3131b781] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["help_about"]  [GET, /help/about, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:47,750781] front.INFO  [3779a781] [3131b781] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["help_about"]  [GET, /help/about, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:51,144050] front.INFO  [NULL] [2d2dc36d] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /help/privacy, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:51,144600] front.INFO  [NULL] [2d2dc36d] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["help_privacy"]  [GET, /help/privacy, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:51,152756] front.INFO  [ae62cac9] [2d2dc36d] [NULL] [LogListener:onKernelController:73] - LOGIC START ["help_privacy"]  [GET, /help/privacy, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:51,164709] front.INFO  [ae62cac9] [2d2dc36d] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["help_privacy"]  [GET, /help/privacy, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:27:51,165311] front.INFO  [ae62cac9] [2d2dc36d] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["help_privacy"]  [GET, /help/privacy, 107.150.33.43, NULL, Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0]
[2023-05-01 01:54:40,319107] front.INFO  [NULL] [4a60974e] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /mypage/favorite, 147.92.153.10, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 01:54:40,342185] front.INFO  [a3cdb99f] [4a60974e] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["mypage_favorite"]  [GET, /mypage/favorite, 147.92.153.10, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 01:54:40,342565] front.INFO  [a3cdb99f] [4a60974e] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["mypage_favorite"]  [GET, /mypage/favorite, 147.92.153.10, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 02:03:34,413437] front.INFO  [NULL] [b52cb593] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 223.240.101.111, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1]
[2023-05-01 02:03:34,413986] front.INFO  [NULL] [b52cb593] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 223.240.101.111, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1]
[2023-05-01 02:03:34,423591] front.INFO  [3f076b0d] [b52cb593] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 223.240.101.111, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1]
[2023-05-01 02:03:34,445481] front.INFO  [3f076b0d] [b52cb593] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 223.240.101.111, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1]
[2023-05-01 02:03:34,446691] front.INFO  [3f076b0d] [b52cb593] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 223.240.101.111, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1]
[2023-05-01 02:34:40,385558] front.INFO  [NULL] [84e5eeec] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/20, 147.92.153.6, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 02:34:40,386281] front.INFO  [NULL] [84e5eeec] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/20, 147.92.153.6, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 02:34:40,394531] front.INFO  [5e1c6cd5] [84e5eeec] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/20, 147.92.153.6, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 02:34:40,424707] front.INFO  [5e1c6cd5] [84e5eeec] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/20, 147.92.153.6, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 02:34:40,426024] front.INFO  [5e1c6cd5] [84e5eeec] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/20, 147.92.153.6, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 02:45:07,246793] front.INFO  [NULL] [3b64fff3] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 52.167.144.45, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-01 02:45:07,247400] front.INFO  [NULL] [3b64fff3] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 52.167.144.45, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-01 02:45:07,256793] front.INFO  [bf16b12a] [3b64fff3] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 52.167.144.45, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-01 02:45:07,285406] front.INFO  [bf16b12a] [3b64fff3] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 52.167.144.45, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-01 02:45:07,286150] front.INFO  [bf16b12a] [3b64fff3] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 52.167.144.45, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-01 03:14:40,369559] front.INFO  [NULL] [8f8e98ec] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /mypage/login, 147.92.153.8, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 03:14:40,370285] front.INFO  [NULL] [8f8e98ec] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["mypage_login"]  [GET, /mypage/login, 147.92.153.8, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 03:14:40,378924] front.INFO  [27dbdba7] [8f8e98ec] [NULL] [LogListener:onKernelController:73] - LOGIC START ["mypage_login"]  [GET, /mypage/login, 147.92.153.8, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 03:14:40,392619] front.INFO  [27dbdba7] [8f8e98ec] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["mypage_login"]  [GET, /mypage/login, 147.92.153.8, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 03:14:40,393200] front.INFO  [27dbdba7] [8f8e98ec] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["mypage_login"]  [GET, /mypage/login, 147.92.153.8, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 03:54:40,266882] front.INFO  [NULL] [92fb30ab] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/9?admin=1, 147.92.153.7, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 03:54:40,267579] front.INFO  [NULL] [92fb30ab] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/9?admin=1, 147.92.153.7, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 03:54:40,275776] front.INFO  [09ebeb01] [92fb30ab] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/9?admin=1, 147.92.153.7, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 03:54:40,308933] front.INFO  [09ebeb01] [92fb30ab] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/9?admin=1, 147.92.153.7, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 03:54:40,309765] front.INFO  [09ebeb01] [92fb30ab] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/9?admin=1, 147.92.153.7, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-05-01 04:15:49,155148] front.INFO  [NULL] [d837d532] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 3.231.219.126, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36]
[2023-05-01 04:15:49,157982] front.INFO  [NULL] [d837d532] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 3.231.219.126, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36]
[2023-05-01 04:15:49,182475] front.INFO  [ea66ceca] [d837d532] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 3.231.219.126, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36]
[2023-05-01 04:15:49,279466] front.INFO  [ea66ceca] [d837d532] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 3.231.219.126, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36]
[2023-05-01 04:15:49,280180] front.INFO  [ea66ceca] [d837d532] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 3.231.219.126, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36]
[2023-05-01 04:16:10,171445] front.INFO  [NULL] [d855ee5c] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js, 3.231.219.126, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15]
[2023-05-01 04:16:10,173781] front.INFO  [NULL] [d855ee5c] [NULL] [LogListener:onKernelException:105] - No route found for "GET //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js" [404]  [GET, //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js, 3.231.219.126, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15]
[2023-05-01 04:16:10,176313] front.INFO  [d361bcca] [d855ee5c] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [GET, //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js, 3.231.219.126, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15]
[2023-05-01 04:16:10,176641] front.INFO  [d361bcca] [d855ee5c] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [GET, //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js, 3.231.219.126, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15]
[2023-05-01 04:16:29,079128] front.INFO  [NULL] [a6a93ea3] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js, 3.231.219.126, NULL, Mozilla/5.0 (Maemo; Linux armv7l; rv:2.0.1) Gecko/20100101 Firefox/4.0.1 Fennec/2.0.1]
[2023-05-01 04:16:29,080525] front.INFO  [NULL] [a6a93ea3] [NULL] [LogListener:onKernelException:105] - No route found for "GET //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js" [404]  [GET, //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js, 3.231.219.126, NULL, Mozilla/5.0 (Maemo; Linux armv7l; rv:2.0.1) Gecko/20100101 Firefox/4.0.1 Fennec/2.0.1]
[2023-05-01 04:16:29,082321] front.INFO  [2c9b5a3d] [a6a93ea3] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [GET, //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js, 3.231.219.126, NULL, Mozilla/5.0 (Maemo; Linux armv7l; rv:2.0.1) Gecko/20100101 Firefox/4.0.1 Fennec/2.0.1]
[2023-05-01 04:16:29,082629] front.INFO  [2c9b5a3d] [a6a93ea3] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [GET, //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js, 3.231.219.126, NULL, Mozilla/5.0 (Maemo; Linux armv7l; rv:2.0.1) Gecko/20100101 Firefox/4.0.1 Fennec/2.0.1]
[2023-05-01 04:16:50,023465] front.INFO  [NULL] [c182246b] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js, 3.231.219.126, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88  Safari/537.36]
[2023-05-01 04:16:50,024852] front.INFO  [NULL] [c182246b] [NULL] [LogListener:onKernelException:105] - No route found for "GET //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js" [404]  [GET, //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js, 3.231.219.126, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88  Safari/537.36]
[2023-05-01 04:16:50,026781] front.INFO  [2dd444bc] [c182246b] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [GET, //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js, 3.231.219.126, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88  Safari/537.36]
[2023-05-01 04:16:50,027121] front.INFO  [2dd444bc] [c182246b] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [GET, //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js, 3.231.219.126, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88  Safari/537.36]
[2023-05-01 04:17:09,931165] front.INFO  [NULL] [d6d98b7a] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, //ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js, 3.231.219.126, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36]
